2026-03-11 16:48:47,391 | INFO | __main__ | Starting bot...
2026-03-11 16:48:47,457 | INFO | database.db | Running migrations...
2026-03-11 16:48:47,457 | INFO | database.db | Migration: added orders.delivery_lat
2026-03-11 16:48:47,469 | INFO | database.db | Migration: added orders.delivery_lon
2026-03-11 16:48:47,472 | INFO | database.db | Migrations completed
2026-03-11 16:48:47,472 | INFO | database.db | Database connected and migrated
2026-03-11 16:48:47,472 | INFO | __main__ | Database connected
2026-03-11 16:48:47,483 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-11 16:48:47,491 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-11 16:48:47,491 | INFO | apscheduler.scheduler | Added job "check_pickup_reminders" to job store "default"
2026-03-11 16:48:47,491 | INFO | apscheduler.scheduler | Added job "send_daily_analytics_report" to job store "default"
2026-03-11 16:48:47,491 | INFO | apscheduler.scheduler | Scheduler started
2026-03-11 16:48:47,491 | INFO | utils.scheduler | Scheduler started
2026-03-11 16:48:47,716 | INFO | __main__ | Bot started: @mrpleatbot
2026-03-11 16:48:47,830 | INFO | aiogram.dispatcher | Start polling
2026-03-11 16:48:47,911 | INFO | aiogram.dispatcher | Run polling for bot @mrpleatbot id=7666806729 - '«ЕДЫБЫ» Доставка еды Мариуполь'
2026-03-11 16:48:54,747 | INFO | aiogram.event | Update id=732797787 is handled. Duration 250 ms by bot id=7666806729
2026-03-11 16:49:03,157 | INFO | aiogram.event | Update id=732797788 is handled. Duration 125 ms by bot id=7666806729
2026-03-11 16:49:05,774 | INFO | aiogram.event | Update id=732797789 is handled. Duration 297 ms by bot id=7666806729
2026-03-11 16:49:07,172 | INFO | aiogram.event | Update id=732797790 is handled. Duration 172 ms by bot id=7666806729
2026-03-11 16:49:07,963 | INFO | aiogram.event | Update id=732797791 is handled. Duration 172 ms by bot id=7666806729
2026-03-11 16:49:12,420 | INFO | aiogram.event | Update id=732797792 is handled. Duration 172 ms by bot id=7666806729
2026-03-11 16:49:13,737 | INFO | aiogram.event | Update id=732797793 is handled. Duration 264 ms by bot id=7666806729
2026-03-11 16:49:14,246 | INFO | aiogram.event | Update id=732797794 is handled. Duration 171 ms by bot id=7666806729
2026-03-11 16:49:18,385 | INFO | aiogram.event | Update id=732797795 is handled. Duration 187 ms by bot id=7666806729
2026-03-11 16:49:19,721 | INFO | aiogram.event | Update id=732797796 is handled. Duration 360 ms by bot id=7666806729
2026-03-11 16:49:22,100 | INFO | aiogram.event | Update id=732797797 is handled. Duration 156 ms by bot id=7666806729
2026-03-11 16:49:23,992 | INFO | aiogram.event | Update id=732797798 is handled. Duration 171 ms by bot id=7666806729
2026-03-11 16:49:33,776 | INFO | aiogram.event | Update id=732797799 is handled. Duration 92 ms by bot id=7666806729
2026-03-11 16:49:38,393 | INFO | aiogram.event | Update id=732797800 is handled. Duration 187 ms by bot id=7666806729
2026-03-11 16:49:47,488 | INFO | apscheduler.executors.default | Running job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 16:50:47 MSK)" (scheduled at 2026-03-11 16:49:47.483850+03:00)
2026-03-11 16:49:47,489 | INFO | apscheduler.executors.default | Job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 16:50:47 MSK)" executed successfully
2026-03-11 16:49:48,445 | INFO | aiogram.event | Update id=732797801 is handled. Duration 344 ms by bot id=7666806729
2026-03-11 16:49:49,854 | INFO | aiogram.event | Update id=732797802 is handled. Duration 217 ms by bot id=7666806729
2026-03-11 16:49:50,898 | INFO | aiogram.event | Update id=732797803 is handled. Duration 265 ms by bot id=7666806729
2026-03-11 16:49:53,737 | INFO | aiogram.event | Update id=732797804 is not handled. Duration 0 ms by bot id=7666806729
2026-03-11 16:49:55,904 | INFO | aiogram.event | Update id=732797805 is handled. Duration 172 ms by bot id=7666806729
2026-03-11 16:49:59,067 | INFO | aiogram.event | Update id=732797806 is handled. Duration 93 ms by bot id=7666806729
